"Sector","Categoría","Subcategoría",Año,"Tipo de GEI","GEI",Gg Gas,"Gg CO2 - eq (GWP)","Gg CO2 - eq (GTP)","Notation Key"
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1998,"Indirecto","COVDM",0,7551,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1998,"Indirecto","SO2",12,9163,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2000,"Indirecto","NOx",1,3987,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2000,"Indirecto","CO",0,1173,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2000,"Indirecto","COVDM",0,021,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2000,"Indirecto","SO2",9,9703,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2000,"Indirecto","NOx",2,091,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2000,"Indirecto","CO",1,936,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2000,"Indirecto","COVDM",0,1513,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2000,"Indirecto","SO2",12,6524,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",2000,"Indirecto","NOx",19,441,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",2000,"Indirecto","CO",43,8877,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",2000,"Indirecto","COVDM",6,09,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",2000,"Indirecto","SO2",9,5394,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",2000,"Indirecto","NOx",9,1707,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",2000,"Indirecto","CO",52,9811,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",2000,"Indirecto","COVDM",8,2591,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",2000,"Indirecto","SO2",10,1461,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",2000,"Indirecto","NOx",0,0056,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",2000,"Indirecto","CO",0,0062,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",2000,"Indirecto","COVDM",0,0001,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",2000,"Indirecto","SO2",0,0099,"N/A","N/A",
"1 - Energía","1.B - Emisiones fugitivas de los combustibles","1.B.2 - Petróleo y Gas Natural",2000,"Indirecto","NOx",0,4448,"N/A","N/A",
